Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8
"Berwickshire, Roxburgh and Selkirk",Scottish Borders,Scotland,3,3,4,False,0.0,0.0,99.99906374213101,1.2139040175517863e-07,6.131478245397268e-05,0.0,0.0008748216960899958,1.0201760783705468e-69
"Caithness, Sutherland and Easter Ross",Highland,Scotland,7,4,6,False,0.0,0.0,4.277530659756805e-49,99.99999621939686,3.7805444596247068e-06,0.0,5.880073469235457e-11,1.2386752886307858e-72
Central Ayrshire,North Ayrshire; South Ayrshire,Scotland,5,7,1,False,0.0,0.0,0.021245956201539552,0.0017172368480295095,0.5610172302744956,0.0,99.41601957667606,1.4959936686504414e-73
Coatbridge and Bellshill,North Lanarkshire,Scotland,1,7,1,False,0.0,0.0,1.880327406989696e-14,2.8586821699024067e-06,0.0016195946584875408,0.0,99.99837754665944,2.5130614991468252e-31
Cowdenbeath and Kirkcaldy,Fife,Scotland,5,7,1,False,0.0,0.0,3.391391074205298e-09,0.0018049042138493544,1.092391405821127,0.0,98.90580368657376,3.520506508606129e-81
Cumbernauld and Kirkintilloch,East Dunbartonshire; North Lanarkshire,Scotland,1,7,1,False,0.0,0.0,1.1415214546265457e-06,8.697423588466722e-05,0.0020930351094755155,0.0,99.99781884913321,2.3905657652261873e-58
Dumfries and Galloway,Dumfries and Galloway,Scotland,3,3,4,False,0.0,0.0,99.99521102867317,1.0426565383148378e-06,0.00011724919162296434,0.0,0.00467067947866727,1.131172764358692e-65
"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway; Scottish Borders; South Lanarkshire,Scotland,3,3,4,False,0.0,0.0,99.99920911364775,2.6131544954317492e-06,0.00010768505096821673,0.0,0.0006805881468219865,2.1168654265859306e-71
Dundee Central,Dundee City,Scotland,8,5,8,False,0.0,0.0,4.6080912772009457e-57,9.187580909851269e-10,99.98719938182587,0.0,1.20521264328656e-14,0.012800617255303147
Dunfermline and Dollar,Clackmannanshire; Fife,Scotland,5,7,1,False,0.0,0.0,2.176212393768207e-10,0.00014942531423767412,0.08738263612635011,0.0,99.91246793834162,2.977300337373973e-69
East Kilbride and Strathaven,South Lanarkshire,Scotland,5,7,1,False,0.0,0.0,5.216432906534076e-10,3.833250194060626e-06,0.007540514567146374,0.0,99.99245565166109,1.1439715267857787e-78
East Renfrewshire,East Renfrewshire,Scotland,6,6,3,True,0.0,0.0,3.005599682066192e-92,4.791971770238812e-45,2.4612829408895284e-48,100.0,3.446368142435603e-49,1.3568840278138038e-82
Edinburgh East and Musselburgh,City of Edinburgh; East Lothian,Scotland,4,5,5,False,0.0,0.0,1.0473253385076989e-99,1.4359954338833712e-08,99.99999998563993,0.0,2.4558612303916497e-36,1.6017744160011594e-40
Edinburgh North and Leith,City of Edinburgh,Scotland,4,5,5,False,0.0,0.0,7.05715322761575e-108,2.6581419654029247e-08,99.9999999734186,0.0,1.466911944796522e-40,8.060237593997765e-61
Edinburgh South,City of Edinburgh,Scotland,4,5,5,False,0.0,0.0,1.2967732446400844e-89,2.2956395524975848e-08,99.99999997704343,0.0,6.851594791239392e-34,2.297291008262602e-81
Edinburgh South West,City of Edinburgh,Scotland,4,5,5,False,0.0,0.0,7.351714689864548e-88,3.2336752715651677e-06,99.99999676632468,0.0,2.678945063194616e-32,1.0062945302796236e-42
Edinburgh West,City of Edinburgh,Scotland,7,4,3,False,0.0,0.0,5.446329342744044e-48,99.94327880390166,0.05672119609825127,0.0,3.4946487063613613e-16,8.178503804423483e-74
Falkirk,Falkirk,Scotland,5,7,1,False,0.0,0.0,1.1825287910411285e-10,1.8521393219026845e-06,0.04244354414833087,0.0,99.95755460359395,3.4267077856832002e-65
Glasgow East,Glasgow City,Scotland,2,8,2,False,0.0,0.0,2.0289014737807003e-80,8.20896317208123e-12,2.4270432284447895e-05,0.0,1.3172315641266051e-24,99.99997572955951
Glasgow North,Glasgow City,Scotland,2,5,2,False,0.0,0.0,1.2369613946251021e-187,1.2288023236712033e-13,100.0,0.0,1.3117561086441417e-70,5.034049657338517e-29
Glasgow North East,Glasgow City,Scotland,2,8,2,False,0.0,0.0,1.6316531497284088e-69,1.0346308325466647e-14,0.0007894759912471512,0.0,3.750848064812735e-22,99.99921052400886
Glasgow South,Glasgow City,Scotland,2,2,2,False,0.0,100.0,5.8837131507932714e-105,1.7959207548414886e-41,1.1042120289875683e-38,0.0,6.427031314063962e-54,6.844940144611645e-73
Glasgow South West,Glasgow City,Scotland,2,8,2,False,0.0,0.0,4.274008310518447e-107,4.6823796652406676e-18,7.52215110284511e-16,0.0,5.926343452022377e-34,100.0
Glasgow West,Glasgow City,Scotland,2,5,2,False,0.0,0.0,1.516489882227465e-72,4.178375219162652e-06,99.99999582162475,0.0,6.888313660959081e-23,1.8446971103762883e-25
Glenrothes and Mid Fife,Fife,Scotland,1,7,1,False,0.0,0.0,1.7906997265335847e-09,6.581069088591926e-05,1.7495992041211514,0.0,98.25033498339734,7.996532622668403e-71
Gordon and Buchan,Aberdeenshire,Scotland,3,3,4,False,0.0,0.0,99.97339362656446,0.02123748372297817,0.0019678974286246164,0.0,0.003400992283879196,6.443941554497061e-83
Hamilton and Clyde Valley,South Lanarkshire,Scotland,1,7,1,False,0.0,0.0,0.0003893580808091579,3.014414758969093e-05,0.011791486409447695,0.0,99.9877890113621,1.9479639367309063e-49
Inverclyde and Renfrewshire West,Inverclyde; Renfrewshire,Scotland,1,7,1,False,0.0,0.0,8.146942058021531e-10,6.993196840197388e-06,0.011657134598444925,0.0,99.98833587138986,4.0271469574337574e-43
"Inverness, Skye and West Ross-shire",Highland,Scotland,7,4,6,False,0.0,0.0,1.4266279068845307e-31,99.99055855042108,0.009321522458130754,0.0,0.00011992712088315751,3.967085248842971e-59
Kilmarnock and Loudoun,East Ayrshire,Scotland,1,7,1,False,0.0,0.0,7.534126916380375e-05,4.069865281948224e-07,0.03940757274815632,0.0,99.96051667899629,5.6195883543649754e-77
Livingston,West Lothian,Scotland,5,7,1,False,0.0,0.0,8.037798096925198e-11,1.2311991485409183e-05,0.0180724085680334,0.0,99.98191527936015,2.9098123113315792e-59
Lothian East,East Lothian,Scotland,5,7,1,False,0.0,0.0,1.9659855302575773e-07,0.00016746171254947254,0.10185361007482917,0.0,99.8979787316142,1.7884387173639124e-80
Mid Dunbartonshire,East Dunbartonshire; North Lanarkshire,Scotland,7,4,3,False,0.0,0.0,3.6298017505428896e-41,99.99999971422753,2.527279014557632e-07,0.0,3.3044613019421924e-08,1.0528036741205227e-63
Midlothian,Midlothian,Scotland,5,7,1,False,0.0,0.0,0.008815119801658828,0.0004106136848089291,0.0886907799575455,0.0,99.902083486556,1.095673907349484e-78
"Moray West, Nairn and Strathspey",Highland; Moray,Scotland,3,3,4,False,0.0,0.0,99.98817477609353,0.00020731647304715717,0.007443631656538007,0.0,0.004174275776836843,1.0221787527413836e-78
"Motherwell, Wishaw and Carluke",North Lanarkshire; South Lanarkshire,Scotland,1,7,1,False,0.0,0.0,2.955024653265353e-16,4.4939239177210876e-08,0.002401627504910648,0.0,99.99759832755583,4.228665824866874e-53
Na h-Eileanan an Iar,Na h-Eileanan an Iar,Scotland,5,7,7,True,0.0,0.0,1.545520535202735e-48,5.790070041583685e-22,8.253252533122238e-12,0.0,99.99999999999147,2.707291281152312e-103
North Ayrshire and Arran,North Ayrshire,Scotland,5,7,1,False,0.0,0.0,0.0021864855524239566,7.876914878549314e-05,0.15011459911485803,0.0,99.84762014618393,4.842561141660062e-69
North East Fife,Fife,Scotland,7,4,6,False,0.0,0.0,4.025305238170993e-36,99.99863254950051,0.001367449084282825,0.0,1.4152834739716645e-09,5.094170348365062e-69
Orkney and Shetland,Orkney Islands; Shetland Islands,Scotland,7,4,6,False,0.0,0.0,1.1578794909858326e-86,99.99999999980389,1.960239130808358e-10,0.0,4.275510935226127e-19,1.5519251437817596e-83
Paisley and Renfrewshire North,Glasgow City; Renfrewshire,Scotland,1,7,1,False,0.0,0.0,2.6880959041908608e-12,0.002057545211348061,0.020825822523714472,0.0,99.97711663226212,3.129227406207091e-42
Paisley and Renfrewshire South,Renfrewshire,Scotland,1,7,1,False,0.0,0.0,1.045721248110282e-07,0.0001498500531762293,0.3023537015175795,0.0,99.69749634385718,3.2358156268707024e-47
Perth and Kinross-shire,Perth and Kinross,Scotland,3,3,4,False,0.0,0.0,99.99368041310497,2.522466492799757e-06,0.003990958317884029,0.0,0.0023261061106637326,1.6542063940085185e-57
Rutherglen,South Lanarkshire,Scotland,1,7,1,False,0.0,0.0,1.4796281464540786e-14,3.459367187183039e-05,0.002715366097481212,0.0,99.99725004023061,1.3236075242725703e-42
Stirling and Strathallan,Perth and Kinross; Stirling,Scotland,5,5,1,False,0.0,0.0,6.70449561035885e-07,0.4296757530619937,93.58999651350365,0.0,5.980327062984771,2.7317220317145493e-90
West Aberdeenshire and Kincardine,Aberdeenshire,Scotland,3,3,4,False,0.0,0.0,99.94160705158784,0.044302235503662336,0.010876625369714388,0.0,0.0032140875387812714,6.04699456793715e-64
West Dunbartonshire,Glasgow City; West Dunbartonshire,Scotland,1,7,1,False,0.0,0.0,2.9009550216755345e-16,4.125831524423605e-08,0.0064778905476490685,0.0,99.99352206819398,2.298794428237244e-61
